bike_name,price,city,kms_driven,owner,age,power,brand
Bajaj Pulsar 150cc,12999,Meerut,65000,First Owner,13,150,Bajaj
KTM Duke 200cc,87000,Mumbai,20000,First Owner,6,200,KTM
Bajaj Avenger 220cc,45600,Rewari,18000,Second Owner,5,220,Bajaj
Bajaj Pulsar 180cc,42000,Ahmednagar,58000,First Owner,7,180,Bajaj
Bajaj Pulsar NS200,47000,Delhi,24445,First Owner,8,200,Bajaj
Bajaj Discover 100M,31000,Delhi,34525,First Owner,7,100,Bajaj
Suzuki Gixxer SF 150cc SP Rear Disc,72500,Bangalore,19000,First Owner,4,150,Suzuki
Suzuki Gixxer 150cc,80999,Wardha,4000,First Owner,3,150,Suzuki
Bajaj Pulsar RS200,85000,Chandigarh,9148,First Owner,6,200,Bajaj
TVS Apache RTR 160cc,60000,Mumbai,16000,First Owner,5,160,TVS
Bajaj Dominar 400 ABS,148999,Ranchi,3694,First Owner,4,400,Bajaj
Bajaj V15 150cc,49000,Bangalore,7524,First Owner,5,150,Bajaj
Hero Passion Pro 100cc,30000,Delhi,23000,First Owner,8,100,Hero
KTM RC 200cc,140000,Panvel,12800,First Owner,6,200,KTM
KTM RC 390cc,237818,Delhi,1440,First Owner,2,390,KTM
Hero Splendor iSmart 110cc,56000,Ranga Reddy,16500,First Owner,4,110,Hero
TVS Sport 100cc,28000,Mandi,36000,First Owner,5,100,TVS
Yamaha SZ-RR 150cc,23600,Delhi,22672,Second Owner,6,150,Yamaha
Royal Enfield Thunderbird 500cc,100000,Bangalore,25000,First Owner,8,500,Royal Enfield
KTM RC 200cc,160700,Hyderabad,10000,First Owner,3,200,KTM
Royal Enfield Bullet Electra Twinspark 350cc,78000,Thane,34200,First Owner,6,350,Royal Enfield
Bajaj V15 150cc,45000,Jabalpur,7000,First Owner,4,150,Bajaj
Royal Enfield‎ Bullet 350cc,60000,Gurgaon,3490,First Owner,9,350,Royal Enfield
KTM RC 200cc,150000,Kota,7500,First Owner,5,200,KTM
Bajaj Discover 150F Disc,37000,Mumbai,13500,First Owner,5,150,Bajaj
Royal Enfield Classic 350cc,125000,Navi Mumbai,11000,First Owner,5,350,Royal Enfield
Bajaj Pulsar RS200,70000,Mumbai,56353,First Owner,5,200,Bajaj
Bajaj Pulsar 220cc,40000,Rohtak,25000,First Owner,7,220,Bajaj
Yamaha Saluto 125cc Disc Special Edition,62000,Delhi,1123,First Owner,2,125,Yamaha
Royal Enfield Interceptor 650cc,280000,Bangalore,1500,First Owner,2,650,Royal Enfield
Bajaj V15 150cc,44000,Rajkot,15000,First Owner,4,150,Bajaj
Royal Enfield Thunderbird 350cc,85000,Mumbai,31000,First Owner,7,350,Royal Enfield
Bajaj Avenger Cruise 220,51000,Gurgaon,28000,First Owner,5,220,Bajaj
Bajaj Avenger Street 220,75000,Delhi,11460,First Owner,3,220,Bajaj
KTM RC 390cc,160000,Ghaziabad,23000,First Owner,5,390,KTM
Bajaj Pulsar NS200,106000,Delhi,1175,First Owner,2,200,Bajaj
Triumph Street Triple ABS 675cc,599999,Mumbai,7800,Third Owner,5,675,Triumph
Honda CBR 250R ABS,85000,Delhi,15000,First Owner,7,250,Honda
Hero Splendor Plus 100cc,31500,Ahmedabad,28653,First Owner,8,100,Hero
Hyosung Aquila GV250,150000,Ahmednagar,8000,Second Owner,6,250,Hyosung
Jawa Forty Two 295CC,210000,Hosur,2100,First Owner,2,295,Jawa
Bajaj V12 125cc,50000,Delhi,3300,First Owner,4,125,Bajaj
Bajaj Discover 100M,29300,Varanasi,19000,First Owner,6,100,Bajaj
Bajaj V12 125cc Disc,35740,Rohtak,20400,First Owner,4,125,Bajaj
Yamaha FZs 150cc,24500,Rajkot,25000,First Owner,10,150,Yamaha
Hero Karizma ZMR 223cc,45000,Kanpur,18000,First Owner,7,223,Hero
KTM Duke 390cc,210000,Chennai,12000,First Owner,4,390,KTM
Bajaj Pulsar RS200,70000,Mumbai,56353,First Owner,5,200,Bajaj
Bajaj Discover 150F Disc,37000,Mumbai,13500,First Owner,5,150,Bajaj
KTM RC 200cc,150000,Kota,7500,First Owner,5,200,KTM
Royal Enfield Bullet Electra 350cc,71000,Delhi,11000,First Owner,9,350,Royal Enfield
Royal Enfield Thunderbird 500cc,100000,Bangalore,25000,First Owner,8,500,Royal Enfield
KTM RC 200cc,160700,Hyderabad,10000,First Owner,3,200,KTM
Royal Enfield Bullet Electra Twinspark 350cc,78000,Thane,34200,First Owner,6,350,Royal Enfield
Bajaj V15 150cc,45000,Jabalpur,7000,First Owner,4,150,Bajaj
Yamaha Fazer 25 250cc,80400,24 Pargana,5100,Second Owner,4,250,Yamaha
Royal Enfield Classic 350cc,135000,Delhi,2200,First Owner,4,350,Royal Enfield
Harley-Davidson Street 750,350000,Mumbai,3100,First Owner,6,750,Harley-Davidson
Hero Karizma ZMR 223cc,57000,Delhi,1500,First Owner,11,223,Hero
Hero Xpulse 200T,76000,Jalandhar,3000,First Owner,2,200,Hero
Bajaj Pulsar 150cc,42100,Kota,22560,First Owner,11,150,Bajaj
Yamaha YZF-R15 S 150cc,73000,Ludhiana,16658,First Owner,6,150,Yamaha
Benelli 302R 300CC,366000,Delhi,3135,First Owner,3,302,Benelli
Honda CB Hornet 160R CBS,61200,Banka,29000,Second Owner,3,160,Honda
Royal Enfield Bullet Electra 350cc,82000,Delhi,29860,First Owner,7,350,Royal Enfield
Royal Enfield Classic 350cc,120000,Chennai,12000,First Owner,5,350,Royal Enfield
Bajaj Pulsar 220cc,40000,Rohtak,25000,First Owner,7,220,Bajaj
TVS Apache RTR 160 4V Disc,80000,Delhi,7000,First Owner,3,160,TVS
Suzuki Gixxer 150cc SP ABS,81800,Bangalore,3700,First Owner,2,150,Suzuki
Bajaj Avenger 220cc,45900,Delhi,27000,First Owner,6,220,Bajaj
Royal Enfield Classic 350cc,125000,Navi Mumbai,11000,First Owner,5,350,Royal Enfield
Bajaj Pulsar NS200,86200,Bangalore,9300,First Owner,4,200,Bajaj
Hero Splendor Plus Kick Alloy 100cc,40000,Delhi,9000,First Owner,3,100,Hero
Hero Hunk 150cc,10000,Mumbai,21389,First Owner,12,150,Hero
Hyosung Aquila GV250,155000,Nagpur,13500,First Owner,5,250,Hyosung
Bajaj Pulsar NS200,46000,Mumbai,24374,First Owner,6,200,Bajaj
KTM RC 390cc,215000,Noida,9600,First Owner,4,390,KTM
Royal Enfield‎ Bullet 350cc,60000,Gurgaon,3490,First Owner,9,350,Royal Enfield
Honda Dream Yuga 110cc,23000,Delhi,37000,First Owner,7,110,Honda
